"","TI","SO","LeadAuthorFirst","LeadAuthorLast","LeadInitOnly","first.gender.manual","first.gender","first.gender.manual.method","EditorFirst","EditorLast","editor.gender.manual","FirstInst2","Editor.Institution"
"1","Ecology Letters, and Transparency and Openness Promotion (TOP) guidelines","ECOLOGY LETTERS",NA,"daniels","no",NA,NA,"","",NA,NA,"",""
"2","The relative importance of trait vs. genetic differentiation for the outcome of interactions among plant genotypes","ECOLOGY","Jessica","hoareau","no","female","female","","Jonathan","Grabowski","male","University of California Davis","Northeastern University"
"3","Test of biotic and abiotic correlates of latitudinal variation in defences in the perennial herb Ruellia nudiflora","JOURNAL OF ECOLOGY","Luis","morard","no","male","male","","Jennifer","Lau","female","Universidad Autonoma de Yucatan","Michigan State University"
"4","Multi-trophic consequences of plant genetic variation in sex andgrowth","ECOLOGY","Luis","soul","no","male","male","","James","Cronin","male","Universidad Autonoma de Yucatan","Louisiana State University"
"5","Parameterisation and validation of a resource budget model for masting using spatiotemporal flowering data of individual trees","ECOLOGY LETTERS","Tomoyuki","farrell","no",NA,NA,"","Liza","Comita","female","","Yale University"
"6","An Efficient Independence Sampler for Updating Branches in Bayesian Markov chain Monte Carlo Sampling of Phylogenetic Trees","SYSTEMATIC BIOLOGY","Andre","grogan","no","male","male","","Peter","Foster","male","Heidelberg University","University of Edinburgh"
"7","The many potential indirect interactions between predators that share competing prey","ECOLOGICAL MONOGRAPHS","Peter","henrichs","no","male","male","","Brian","Inouye","male","University of Toronto","Florida State University"
"8","Evaluating modularity in morphometric data: challenges with the RV coefficient and a new test measure","METHODS IN ECOLOGY AND EVOLUTION","Dean","klemme","no","male","male","","Pedro","Peres-Neto","male","Iowa State University","Concordia University Montreal"
"9","Distribution, demography and dispersal model of spatial spread of invasive plant populations with limited data","METHODS IN ECOLOGY AND EVOLUTION","Vanessa","skelton","no","female","female","","Mark","Rees","male","Charles Darwin University","University of Sheffield"
"10","Native fungal endophytes suppress an exotic dominant and increase plant diversity over small and large spatial scales","ECOLOGY","Michelle","strona","no","female","female","","Jason","Hoeksema","male","University of Miami","University of Mississippi"
"11","On the study of plant defence and herbivory using comparative approaches: how important are secondary plant compounds","ECOLOGY LETTERS","Anurag","zemunik","no","male","male","","Christoph","Scherber","male","Cornell University","Universitat Munster"
"12","Confidence intervals for ratios of proportions: implications for selection ratios","METHODS IN ECOLOGY AND EVOLUTION","Ken","meseguer","no","male","male","","Holger","Schielzeth","male","Idaho State University","Friedrich Schiller University of Jena"
"13","Rarity and Incomplete Sampling in DNA-Based Species Delimitation","SYSTEMATIC BIOLOGY","Dirk","patino","no","male","male","","Mark","Fishbein","male","Zoological Forschungsmuseum Alexander Koenig Bonn","Oklahoma State University"
"14","Context-dependent changes in the functional composition of tree communities along successional gradients after land-use change","JOURNAL OF ECOLOGY","Masahiro","roalson","no",NA,NA,"","David","Edwards","male","Tohoku University","University of Sheffield"
"15","Host contact and shedding patterns clarify variation in pathogen exposure and transmission in threatened tortoise Gopherus agassizii: implications for disease modelling and management","JOURNAL OF ANIMAL ECOLOGY","Christina","griffith","no","female","female","","Ian","Montgomery","male","Penn State","Queen's University Belfast"
"16","The phylogenetic structure of plant-pollinator networks increases with habitat size and isolation","ECOLOGY LETTERS","Marcelo","oken","no","male","male","","Jennifer","Dunne","female","University Nacional Comahue","Santa Fe institute"
"17","Flying with the winds: differential migration strategies in relation to winds in moth and songbirds","JOURNAL OF ANIMAL ECOLOGY","Susanne","sardans","no","female","female","","Graeme","Hays","male","Lund University","Deakin University"
"18","Disentangling the heritable and plastic components of the competitive and facilitative effects of an alpine foundation species","JOURNAL OF ECOLOGY","Patrick","gerber","no","male","male","","Marina","Semchenko","female","University of Bordeaux","University of Tartu"
"19","Climate change, species range shifts and dispersal corridors: an evaluation of spatial conservation models","METHODS IN ECOLOGY AND EVOLUTION","Diogo","classen","no","male",NA,"babynames.com","Barbara","Anderson","female","University of Evora","Landcare Research, Lincoln University"
"20","Strategies for a successful plant invasion: the reproduction of Phragmites australis in north-eastern North America","JOURNAL OF ECOLOGY","Arnaud","frick","no","male",NA,"babynames.com","Peter","Alpert","male","Universite Montreal","University of Massachusetts Amherst"
"21","Fast fitting of non-Gaussian state-space models to animal movement data via Template Model Builder","ECOLOGY","Christoffer","bieli","no","male",NA,"babynames.com","Elizabeth","Holmes","female","Technological University of Denmark","NOAA"
"22","Variation in neighbourhood context shapes frugivore-mediated facilitation and competition among co-dispersed plant species","JOURNAL OF ECOLOGY","Joerg","cerny","no","male",NA,"pronouncenames","Mark","Rees","male","University of Marburg","University of Sheffield"
"23","Quantifying Age-dependent Extinction from Species Phylogenies","SYSTEMATIC BIOLOGY","Helen","johnson","no","female","female","","Edward","Susko","male","ETH Zurich","Dalhousie University"
"24","Area, climate heterogeneity, and the response of climate niches to ecological opportunity in island radiations of Anolis lizards","GLOBAL ECOLOGY AND BIOGEOGRAPHY","Adam","mavromatakis","no","male","male","","Robert","Ricklefs","male","University of Nottingham","University of Missouri Saint Louis"
"25","Source of CpG Depletion in the HIV-1 Genome","MOLECULAR BIOLOGY AND EVOLUTION","Hamid","mencarelli","no","male","male","","Thomas","Leitner","male","University of New South Wales","Los Alamos National Laboratory"
"26","Land use intensification alters ecosystem multifunctionality via loss of biodiversity and changes to functional composition","ECOLOGY LETTERS","Eric","brucato","no","male","male","","Johannes","Knops","male","University of Bern","University of Nebraska"
"27","Plant biodiversity effects in reducing fluvial erosion are limited to low species richness","ECOLOGY","Daniel","engelken","no","either","either","","Steven","Pennings","male","Arizona State University","University of Georgia Marine Institute"
"28","Synthesis: comparing effects of resource and consumer fluxes into recipient food webs using meta-analysis","ECOLOGY","Daniel","feldman","no","either","either","","Elizabeth","Borer","female","Arizona State University","University of Minnesota"
"29","The importance of motivation, weapons, and foul odors in driving encounter competition in carnivores","ECOLOGY","Maximilian","hanghoj","no","male","male","","Elizabeth","Borer","female","University of California Santa Cruz","University of Minnesota"
"30","Biogeochemical implications of biodiversity and community structure across multiple coastal ecosystems","ECOLOGICAL MONOGRAPHS","Jacob","melin","no","male","male","","Nathan","Kraft","male","North Carolina State University","University of Maryland"
"31","Temporal variation in the synchrony of weather and its consequences for spatiotemporal population dynamics","ECOLOGY","Andrew","mendizabal","no","male","male","","Bradley","Cardinale","male","University of Virginia","University of Michigan"
"32","Social living mitigates the costs of a chronic illness in a cooperative carnivore","ECOLOGY LETTERS","E.","heard","no",NA,NA,"","Marco","Festa-Bianchet","male","Penn State","University of Sherbrooke"
"33","Fish community reassembly after a coral mass mortality: higher trophic groups are subject to increased rates of extinction","ECOLOGY LETTERS","David","hefley","no","male","male","","David","Mouillot","male","","Universite de Montpellier"
"34","Phenological response of a key ecosystem function to biological invasion","ECOLOGY LETTERS","Maria","auer","no","female","female","","Robert","Sterner","male","University of Toulouse 3","University of Minnesota Duluth"
"35","A simple Bayesian method of inferring extinction: reply","ECOLOGY","John","bishop","no","male","male","","",NA,NA,"Macquarie University",""
"36","Big answers from small worlds: a user's guide for protist microcosms as a model system in ecology and evolution","METHODS IN ECOLOGY AND EVOLUTION","Florian","brown","no","male","male","","Matthew","Spencer","male","Eawag Swiss Federal Institute of Aquatic Sciences & Technology","University of Otago"
"37","Host and parasite thermal acclimation responses depend on the stage of infection","JOURNAL OF ANIMAL ECOLOGY","Karie","corwin","no","female","female","","Jason","Tylianakis","male","Oakland University","University of Canterbury"
"38","Spatially explicit summary statistics for historical population genetic inference","METHODS IN ECOLOGY AND EVOLUTION","Diego","das","no","male","male","","Robert","Freckleton","male","CUNY City College","University of Sheffield"
"39","Long-Distance Dispersal Shaped Patterns of Human Genetic Diversity in Eurasia","MOLECULAR BIOLOGY AND EVOLUTION","Isabel","daskin","no","female","female","","Naruya","Saitou",NA,"University of Bern","National Institute of Genetics"
"40","Effects of temperature on consumer-resource interactions","JOURNAL OF ANIMAL ECOLOGY","Priyanga","duncan","no",NA,NA,"","Tim","Coulson","either","","University of Oxford"
"41","Migratory connectivity and effects of winter temperatures on migratory behaviour of the European robin Erithacus rubecula: a continent-wide analysis","JOURNAL OF ANIMAL ECOLOGY","Roberto","fimlaid","no","male","male","","Jean-Michel","Gaillard","male","University Milano Bicocca","CNRS"
"42","Mating-Induced Increase in Germline Stem Cells via the Neuroendocrine System in Female Drosophila","PLOS GENETICS","Tomotsune","foss-grant","no",NA,NA,"","Liliane","Schoofs","female","University of Tsukuba","Katholieke Universiteit Leuven"
"43","Land-use legacies rather than climate change are driving the recent upward shift of the mountain tree line in the Pyrenees","GLOBAL ECOLOGY AND BIOGEOGRAPHY","Aitor","gamba","no","male",NA,"babynamewizard.com","Martin","Sykes","male","University of Quebec","Lund University"
"44","DAF-16 and TCER-1 Facilitate Adaptation to Germline Loss by Restoring Lipid Homeostasis and Repressing Reproductive Physiology in C. elegans","PLOS GENETICS","Francis","heberling","yes","either","either","","Kaveh","Ashrafi","male","University of Pittsburgh","University of California San Francisco"
"45","Trophic interactions determine the effects of drought on an aquatic ecosystem","ECOLOGY","Sarah","iwanami","no","female","female","","Leon","Lounibos","male","University of British Columbia","University of Florida"
"46","Indirect effects of predators control herbivore richness and abundance in a benthic eelgrass (Zostera marina) mesograzer community","JOURNAL OF ANIMAL ECOLOGY","Sarah","jiang","yes","female","female","","Eoin","O'Gorman","male","University of British Columbia","Imperial College London"
"47","Ecological similarity is related to phylogenetic distance between species in a cross-niche field transplant experiment","ECOLOGY","Brian","kampf","no","male","male","","","",NA,"University of California Davis",""
"48","Identification of Novel Genetic Determinants of Erythrocyte Membrane Fatty Acid Composition among Greenlanders","PLOS GENETICS","Mette","kobayashi","no","female",NA,"babynames.com","Eleftheria","Zeggini","female","University of Copenhagen","Wellcome Trust Sanger Institute"
"49","Review of rope-based access methods for the forest canopy: safe and unsafe practices in published information sources and a summary of current methods","METHODS IN ECOLOGY AND EVOLUTION","David","kuo","no","male","male","","Robert","Freckleton","male","Peregrine Fund","University of Sheffield"
